time,hip_flexion_r_moment,knee_angle_r_moment,ankle_angle_r_moment
5.649597,152.71091835,25.4743698,3.27920749
5.666263,124.62769639,2.31801645,5.22067446
5.682929,98.66753528,-18.63422775,4.67628213
5.699595,103.71643549,-24.17979025,4.18305376
5.716261,167.68818252,5.51393487,6.68053599
5.732927,233.36709181,44.63605288,9.27249631
5.749593,251.83403902,72.91709319,9.92362418
5.766259,217.9038008,81.23834816,9.10137805
5.782925,176.66711356,78.68416292,8.42867986
5.799591,139.52911293,73.45438136,8.24473682
5.816257,101.37918088,69.01654641,7.99830309
5.832923,69.1317862,71.49855226,7.7817249
5.849589,70.45730841,80.26540687,9.18380844
5.866255,86.43366997,84.26049521,12.22692937
5.882921,77.98973604,74.1355647,14.23612442
5.899587,22.20993024,46.41685348,12.20174246
5.916253,-73.09095539,-3.31087153,6.43274269
5.932919,-203.81137647,-76.9337253,-0.16156239
5.949585,-365.04042142,-169.54728783,-5.07625356
5.966251,-526.69174383,-262.03819238,-8.64976353
5.982917,-611.37651334,-325.68906656,-11.58770206
