Target,Model,Features,R2_LOO,RMSE,MAE,R2_train
0-10m,Ridge,A: accel fPC,-0.076,0.1418,0.1192,0.9896
0-10m,Ridge,B: Bio,-0.3208,0.1571,0.1205,0.4276
0-10m,LASSO,A: accel fPC,-0.2554,0.1531,0.1236,0.6395
0-10m,LASSO,B: Bio,-0.3585,0.1593,0.1256,0.0
0-10m,RF,A: accel fPC,-0.2123,0.1505,0.1115,0.6499
0-10m,RF,B: Bio,-0.1051,0.1437,0.1171,0.6578
0-10m,kNN-5,A: accel fPC,-0.26,0.1534,0.1393,0.1138
0-10m,kNN-5,B: Bio,0.0416,0.1338,0.1005,0.5208
0-10m,SVR-RBF,A: accel fPC,-0.0874,0.1425,0.1158,0.6024
0-10m,SVR-RBF,B: Bio,0.0269,0.1348,0.1003,0.6852
0-10m,XGBoost,A: accel fPC,-0.3398,0.1582,0.1269,0.41
0-10m,XGBoost,B: Bio,-0.2528,0.153,0.1267,0.4364
10-20m,Ridge,A: accel fPC,-0.0814,0.116,0.1003,0.9942
10-20m,Ridge,B: Bio,-0.2884,0.1266,0.0953,0.5436
10-20m,LASSO,A: accel fPC,0.0401,0.1093,0.0897,0.3043
10-20m,LASSO,B: Bio,-0.1534,0.1198,0.0931,0.586
10-20m,RF,A: accel fPC,-0.1367,0.1189,0.0894,0.6841
10-20m,RF,B: Bio,-0.0493,0.1142,0.0925,0.6688
10-20m,kNN-5,A: accel fPC,-0.2896,0.1267,0.1162,0.0496
10-20m,kNN-5,B: Bio,0.0534,0.1085,0.08,0.4959
10-20m,SVR-RBF,A: accel fPC,-0.0983,0.1169,0.0976,0.4844
10-20m,SVR-RBF,B: Bio,-0.003,0.1117,0.0855,0.5914
10-20m,XGBoost,A: accel fPC,-0.2261,0.1235,0.1022,0.2959
10-20m,XGBoost,B: Bio,-0.1428,0.1192,0.1009,0.3178
