Model,Features,R2_LOO,RMSE,R2_train,Overfit_Gap,n_features,time_s
SVR (C=10),Bio,0.4636,0.5406,0.9844,0.5208,10,0.0
PLS (n=6),Raw (19392),0.4213,0.5615,0.8484,0.4271,19392,0.6
PCR (n=12),Raw (19392),0.3896,0.5767,0.7754,0.3858,19392,1.4
Stepwise OLS,fPC (3 PCs),0.3856,0.5786,0.5235,0.1379,3,0.0
kNN (k=5),Bio,0.2847,0.6243,0.4473,0.1627,10,0.0
XGBoost,Bio,0.2387,0.644,0.9118,0.673,10,1.6
Huber,Combined,0.157,0.6777,1.0,0.843,39,0.4
XGBoost,fPC (all),0.1527,0.6794,0.946,0.7933,29,1.8
Ridge,Combined,0.1346,0.6866,0.9804,0.8459,39,0.1
Random Forest,Bio,0.1262,0.6899,0.8216,0.6954,10,9.8
Random Forest,fPC (all),0.0451,0.7212,0.8319,0.7868,29,10.6
Ridge,Bio,0.0308,0.7266,0.43,0.3992,10,0.1
Bayesian Ridge,Bio,0.0191,0.731,0.4778,0.4587,10,0.0
Ridge,fPC (all),-0.0137,0.7431,0.9806,0.9943,29,0.1
kNN (k=9),fPC (all),-0.0143,0.7434,-0.0549,-0.0406,29,0.0
SVR (C=10),fPC (all),-0.0541,0.7578,0.9827,1.0368,29,0.0
Elastic Net,Bio,-0.0549,0.7581,0.4632,0.5181,10,1.3
LASSO,Combined,-0.0607,0.7602,1.0,1.0607,39,0.5
OLS,fPC (all),-0.0631,0.761,1.0,1.0631,29,0.0
Bayesian Ridge,fPC (all),-0.0631,0.761,1.0,1.0631,29,0.0
Huber,fPC (all),-0.0631,0.761,1.0,1.0631,29,0.4
Elastic Net,fPC (all),-0.0781,0.7664,0.044,0.1221,29,1.0
LASSO,fPC (all),-0.1424,0.7889,0.0334,0.1758,29,0.4
LASSO,Bio,-0.4321,0.8833,0.2529,0.685,10,0.6
OLS,Bio,-0.6593,0.9508,0.5932,1.2525,10,0.0
Huber,Bio,-1.1947,1.0934,0.5802,1.7749,10,0.1
