Model,Features,R2_LOO,RMSE,MAE,R2_train,Overfit_Gap,n_features,time_s
Stepwise OLS,A (6 PCs),0.2348,0.6162,0.4999,0.5983,0.3634,6,0.0
kNN (k=3),B (Bio),0.1179,0.6616,0.5414,0.4591,0.3411,18,0.0
Random Forest,B (Bio),0.0706,0.6791,0.599,0.8231,0.7526,18,11.2
PLS (n=4),Raw (19392),0.0528,0.6856,0.5634,0.7199,0.6671,19392,6.7
SVR (C=10),B (Bio),0.0409,0.6899,0.5681,0.9799,0.939,18,0.0
XGBoost,A (fPC),0.0388,0.6907,0.5467,0.9257,0.8869,30,0.7
PCR (n=5),Raw (19392),0.0203,0.6973,0.5474,0.2948,0.2745,19392,15.3
OLS,A (fPC),-0.0035,0.7057,0.6091,1.0,1.0035,30,0.0
Bayesian Ridge,A (fPC),-0.0035,0.7057,0.6091,1.0,1.0035,30,0.1
Ridge,A (fPC),-0.0199,0.7114,0.6067,0.9988,1.0186,30,0.1
Ridge,B (Bio),-0.0341,0.7164,0.6057,0.538,0.5721,18,0.1
SVR (C=1),A (fPC),-0.0454,0.7203,0.6152,0.918,0.9634,30,0.0
Bayesian Ridge,B (Bio),-0.0527,0.7228,0.6051,0.5294,0.5821,18,0.1
XGBoost,B (Bio),-0.0597,0.7252,0.6255,0.9085,0.9682,18,0.8
Random Forest,A (fPC),-0.0714,0.7292,0.6234,0.8167,0.8881,30,13.7
Elastic Net,A (fPC),-0.1123,0.743,0.6302,0.0,0.1123,30,1.5
kNN (k=9),A (fPC),-0.1258,0.7475,0.6402,0.2184,0.3443,30,0.0
LASSO,A (fPC),-0.144,0.7535,0.6366,0.0,0.144,30,0.5
Elastic Net,B (Bio),-0.1988,0.7713,0.6338,0.5482,0.747,18,10.3
LASSO,B (Bio),-0.4687,0.8537,0.6631,0.5161,0.9848,18,3.2
OLS,B (Bio),-4.1355,1.5964,1.1986,0.666,4.8015,18,0.0
