metric,mean_M,std_M,mean_F,std_F,U_stat,p_value,effect_size_rbc,significant
avg_vert_oscillation_top_speed_m,0.088,0.0359,0.056,0.0487,171.0,0.0159,-0.52,True
accel_distance_to_95pct_m,20.6213,3.3064,18.02,2.9115,165.0,0.031,-0.467,True
stride1_gct_s,0.0433,0.0459,0.0789,0.0598,69.5,0.068,0.382,False
vertical_rfd_norm,2.6481,0.7,2.1809,1.0057,156.0,0.0745,-0.387,False
avg_stride_length_top_speed_m,0.5815,1.4835,1.8802,2.0176,80.0,0.1016,0.289,False
stride_freq_top_speed_hz,5.5567,3.4931,3.932,3.7835,149.5,0.1291,-0.329,False
avg_flight_time_top_speed_s,0.8095,0.2587,0.5864,0.396,148.0,0.1456,-0.316,False
stride2_gct_s,0.0156,0.0268,0.0344,0.0419,85.5,0.2008,0.24,False
leg_length_m,0.7869,0.1034,0.7444,0.0813,139.5,0.2716,-0.24,False
strides_to_top_speed,6.0667,1.5261,6.8667,2.125,88.0,0.3108,0.218,False
stride1_distance_m,2.0779,1.8502,2.7078,1.6281,92.0,0.4004,0.182,False
stride2_dist_over_gct,19.2287,33.3159,23.38,26.8562,96.0,0.4424,0.147,False
steps_to_top_speed,12.0,2.3944,13.8667,4.5734,94.5,0.4635,0.16,False
stride2_distance_m,1.0783,1.8318,1.532,1.6692,98.0,0.5015,0.129,False
avg_duty_factor_top_speed,0.0567,0.0185,0.0599,0.0457,99.0,0.5884,0.12,False
top_speed_maintenance_m,7.9227,7.8947,6.1273,4.8684,121.0,0.74,-0.076,False
stride1_dist_over_gct,32.7953,30.8929,34.7807,28.061,109.0,0.8996,0.031,False
avg_gct_top_speed_s,0.0501,0.0149,0.0477,0.0321,115.0,0.9291,-0.022,False
