participant_id,sex,t_0_10,t_10_20,t_20_30,t_30_40,t_40_50,t_50_60,cum_10m,cum_20m,cum_30m,cum_40m,cum_50m,cum_60m,t_0_5,t_5_15,t_15_25,t_25_30
SB061,M,1.9,1.2,1.15,1.1333,1.15,1.25,1.9,3.1,4.25,5.3833,6.5333,7.7833,1.2,1.3167,1.1667,0.5667
SB101,M,1.9833,1.2,1.1,1.0833,1.0833,1.0833,1.9833,3.1833,4.2833,5.3667,6.45,7.5333,1.2833,1.3167,1.1333,0.55
SB102,F,2.1833,1.4167,1.3167,1.3167,1.35,1.3667,2.1833,3.6,4.9167,6.2333,7.5833,8.95,1.3833,1.5333,1.35,0.65
SB110,F,2.1667,1.4333,1.3667,1.3833,1.4167,1.6667,2.1667,3.6,4.9667,6.35,7.7667,9.4333,1.35,1.55,1.3833,0.6833
SB111,M,2.0833,1.3167,1.2167,1.2167,1.2167,1.25,2.0833,3.4,4.6167,5.8333,7.05,8.3,1.3333,1.4167,1.2667,0.6
SB112,M,2.0167,1.3,1.2333,1.2167,1.2,1.1833,2.0167,3.3167,4.55,5.7667,6.9667,8.15,1.2833,1.4,1.25,0.6167
SB15,F,2.15,1.3667,1.3,1.3,1.2833,1.3333,2.15,3.5167,4.8167,6.1167,7.4,8.7333,1.35,1.5,1.3167,0.65
SB150,F,2.25,1.45,1.35,1.35,1.3333,1.3333,2.25,3.7,5.05,6.4,7.7333,9.0667,1.4333,1.55,1.4,0.6667
SB151,F,2.25,1.4667,1.35,1.3333,1.3333,1.35,2.25,3.7167,5.0667,6.4,7.7333,9.0833,1.4167,1.5833,1.4,0.6667
SB153,F,2.1667,1.4333,1.3833,1.3833,1.4167,1.5333,2.1667,3.6,4.9833,6.3667,7.7833,9.3167,1.3667,1.5333,1.3833,0.7
SB154,M,2.0167,1.3,1.1833,1.15,1.15,1.2167,2.0167,3.3167,4.5,5.65,6.8,8.0167,1.2833,1.4,1.2333,0.5833
SB155,M,2.0,1.25,1.15,1.1167,1.1,1.1,2.0,3.25,4.4,5.5167,6.6167,7.7167,1.2833,1.3667,1.1833,0.5667
SB16,F,2.1333,1.3333,1.25,1.2167,1.25,1.45,2.1333,3.4667,4.7167,5.9333,7.1833,8.6333,1.35,1.4667,1.2833,0.6167
SB160,F,2.2167,1.4,1.3167,1.3167,1.3167,1.4,2.2167,3.6167,4.9333,6.25,7.5667,8.9667,1.4167,1.5167,1.35,0.65
SB161,F,2.0667,1.35,1.25,1.25,1.2333,1.2667,2.0667,3.4167,4.6667,5.9167,7.15,8.4167,1.2833,1.4833,1.2833,0.6167
SB20,M,2.0667,1.2833,1.2167,1.2167,1.2167,1.3,2.0667,3.35,4.5667,5.7833,7.0,8.3,1.3333,1.4,1.2333,0.6
SB202,F,2.4833,1.6333,1.5667,1.6167,1.6667,1.7167,2.4833,4.1167,5.6833,7.3,8.9667,10.6833,1.5833,1.7333,1.5833,0.7833
SB23,F,2.2333,1.4167,1.3333,1.3333,1.3167,1.3333,2.2333,3.65,4.9833,6.3167,7.6333,8.9667,1.4167,1.55,1.3667,0.65
SB25,M,2.1333,1.35,1.2667,1.25,1.25,1.4667,2.1333,3.4833,4.75,6.0,7.25,8.7167,1.3667,1.4667,1.2833,0.6333
SB26,M,1.95,1.2167,1.15,1.15,1.1333,1.1667,1.95,3.1667,4.3167,5.4667,6.6,7.7667,1.2333,1.3333,1.1833,0.5667
SB50,M,1.9667,1.2,1.0833,1.0667,1.0833,1.1167,1.9667,3.1667,4.25,5.3167,6.4,7.5167,1.2833,1.3,1.1333,0.5333
SB60,M,2.1167,1.3,1.2,1.1667,1.1833,1.2,2.1167,3.4167,4.6167,5.7833,6.9667,8.1667,1.35,1.4333,1.2333,0.6
SB70,M,1.9333,1.2333,1.1833,1.1667,1.2,1.2167,1.9333,3.1667,4.35,5.5167,6.7167,7.9333,1.2333,1.3333,1.2,0.5833
SB73,M,1.9,1.2,1.1333,1.15,1.15,1.2167,1.9,3.1,4.2333,5.3833,6.5333,7.75,1.2167,1.3,1.15,0.5667
SB74,M,2.0333,1.2667,1.2333,1.2167,1.2667,1.3,2.0333,3.3,4.5333,5.75,7.0167,8.3167,1.3,1.3833,1.2333,0.6167
SB80,F,2.2833,1.4833,1.4167,1.4,1.4167,1.4667,2.2833,3.7667,5.1833,6.5833,8.0,9.4667,1.45,1.6,1.4333,0.7
SB81,F,2.2167,1.45,1.3667,1.3667,1.35,1.4333,2.2167,3.6667,5.0333,6.4,7.75,9.1833,1.4,1.5667,1.3833,0.6833
SB82,M,1.9833,1.2333,1.1333,1.1167,1.1,1.15,1.9833,3.2167,4.35,5.4667,6.5667,7.7167,1.25,1.3667,1.1833,0.55
SB91,F,2.2,1.4333,1.3333,1.3167,1.3167,1.3333,2.2,3.6333,4.9667,6.2833,7.6,8.9333,1.4,1.5333,1.3667,0.6667
SB92,F,2.2167,1.4333,1.35,1.3167,1.3167,1.35,2.2167,3.65,5.0,6.3167,7.6333,8.9833,1.4167,1.5333,1.3667,0.6833
