participant_id,strides_to_top_speed,top_speed_maintenance_m,accel_distance_to_95pct_m,avg_gct_top_speed_s,avg_stride_length_top_speed_m,stride_freq_top_speed_hz,stride1_dist_over_gct,stride2_dist_over_gct,avg_vert_oscillation_top_speed_m,footedness_stride0,sex,max_velocity_ms,height_m
SB061,11,29.2048,17.9373,0.7333,3.8388,1.8833,,55.9050,0.0571,L,M,9.4346,0.6778
SB101,13,34.3146,27.1007,0.7444,,,19.8487,49.6485,0.0384,L,M,10.0207,0.7805
SB102,9,39.1090,18.7713,0.7944,4.4899,1.2000,17.0602,47.8945,0.0516,L,F,7.9834,0.5750
SB110,11,34.3126,14.8868,0.7889,3.9662,1.4895,13.9952,32.7571,0.0400,L,F,7.7816,0.7892
SB111,12,26.0650,23.6603,0.7042,3.9632,1.9355,25.6619,51.7950,0.0516,L,M,8.9839,0.7543
SB112,14,40.5626,19.5863,0.5111,2.9871,1.9355,30.8891,22.4036,0.0945,L,M,9.0227,0.8049
SB15,12,38.9415,19.7925,0.7333,3.5032,1.9001,23.0932,24.8839,0.0559,R,F,8.4259,0.7074
SB150,23,37.4258,42.7943,0.1429,3.6119,1.9636,20.2283,54.0870,0.0710,L,F,8.3380,0.7650
SB151,15,32.6977,24.5068,0.4333,3.4084,1.9570,20.6385,44.1317,0.0587,L,F,8.1383,0.6907
SB153,9,41.7374,15.0433,0.7125,3.4832,1.6707,16.4312,26.3194,0.0635,R,F,7.5917,0.6089
SB154,12,27.7872,25.4538,0.8056,2.5536,1.9677,26.8733,37.8403,0.0717,R,M,9.2764,0.7429
SB155,11,40.5010,23.1126,0.7042,,,29.0763,34.7541,0.0599,L,M,9.3456,0.6968
SB16,9,26.9116,21.1657,0.6300,4.2033,1.5227,24.6708,39.1005,0.0504,R,F,8.6214,0.6150
SB160,12,42.9121,16.3885,0.7333,3.5090,1.8973,13.1139,23.3904,0.0481,L,F,8.0487,0.7512
SB161,11,39.4607,22.0383,0.7333,3.1980,1.8466,31.5934,23.0513,0.0399,R,F,8.6861,0.6087
SB20,10,26.5306,23.0764,0.7250,4.1052,1.8768,18.2034,53.4943,0.0814,L,M,8.8943,0.7676
SB202,14,29.5837,20.2664,0.2643,3.5146,1.6675,19.2281,21.4306,0.0682,R,F,7.0048,0.7347
SB23,18,43.9945,17.3989,0.3250,3.8816,1.9355,14.0398,24.4094,0.0940,L,F,8.2218,0.6501
SB25,10,29.8309,24.7863,0.5133,4.0206,1.8142,29.7136,33.6312,0.0345,L,M,8.5062,0.8170
SB26,9,36.8467,21.3545,0.7667,4.2479,1.9355,58.6330,26.5879,0.0640,L,M,9.2133,0.6858
SB50,11,37.0301,21.8546,0.7333,3.1675,2.0000,21.6760,22.3783,0.0634,L,M,9.8094,0.7728
SB60,9,26.8348,25.2357,0.7083,4.7849,1.1111,15.8753,51.9609,0.0583,L,M,9.1761,0.7117
SB70,11,36.3711,20.1874,0.7667,2.4545,1.8182,11.4106,33.6994,0.0384,R,M,9.0103,0.7336
SB73,10,36.7208,15.5417,0.7208,4.1061,1.9677,23.7380,69.3214,0.0716,L,M,9.2131,0.6681
SB74,8,34.8923,18.4826,0.7778,3.9708,1.8750,26.1465,43.8099,0.0645,L,M,8.9359,0.7383
SB80,11,37.2601,19.8739,0.7333,3.8177,1.6793,22.1514,24.3343,0.0484,R,F,7.7478,0.7128
SB81,11,40.7295,16.7361,0.7458,3.5894,1.6058,26.7408,25.6754,0.0464,R,F,7.6860,0.6635
SB82,12,19.7120,32.0943,0.6000,4.3362,1.5447,13.5188,11.0039,0.0473,R,M,9.8837,0.7665
SB91,25,38.9158,24.9129,0.1521,3.9065,1.9131,14.2856,38.2908,0.0509,L,F,7.9804,0.6098
SB92,25,38.7112,24.8296,0.2333,3.8871,1.9128,14.2720,38.2224,0.0508,L,F,7.9498,0.6097
